PMF_PLACE,LONG,LAT,ADDR,EMR,CLINIC
PRINCE GEORGE,-122.755411,53.9085702,512 - 1669 VICTORIA STREET,Accuro,NA
COQUITLAM,-122.7551973,49.2935033,203 - 3387 DAVID AVENUE,Oscar Nerd,FOOTHILLS MEDICAL CLINIC
VANCOUVER,-123.1259148,49.2611413,10TH FL - 2775 LAUREL STREET,Accuro,HAEMATOLOGY AND BMT PROGRAM
VICTORIA,-123.3228272,48.4324038,309 - 1990 FORT STREET,Accuro,NA
VANCOUVER,-123.0923834,49.2815095,101 - 533 EAST HASTINGS STREET,Intrahealth VCH,SHEWAY MATERNITY SERV
VICTORIA,-123.3986709,48.4492705,208 - 2951 TILLICUM ROAD,Oscar,NA
KAMLOOPS,-120.329944,50.6716033,101 - 474 COLUMBIA STREET,Accuro,NA
PENDER ISLAND,-123.267056,48.7652162,5715 CANAL ROAD,Osler,PENDER ISLAND MEDICAL CENTRE
POWELL RIVER,-124.5202068,49.8456395,4794 JOYCE AVENUE,Wolf,THE MEDICAL CLINIC ASSOCIATES
CAMPBELL RIVER,-125.2499777,50.0283494,4 - 1330 DOGWOOD STREET,Oscar West,NA
TERRACE,-128.5946695,54.5098694,2715 TETRAULT STREET,NH MOIS,SLEEPING BEAUTY MEDICAL CLINIC
PORT ALBERNI,-124.801326,49.2513001,1 - 4565 WALLACE ST,Osler,NA
VANCOUVER,-123.1262048,49.2455931,KO - 134 - 4480 OAK STREET,Launchpad,PAEDIATRIC UROLOGY
BURNABY,-123.0165975,49.2488432,3935 KINCAID STREET,Launchpad,GERIATRIC MENTAL HEALTH
BRENTWOOD BAY,-123.4671024,48.581384,3 BOATRAMP ROAD,Launchpad,NA
RICHMOND,-123.1482094,49.1692939,560 - 6091 GILBERT ROAD,IntraHealth,RICHMOND HEALTH SCIENCES CENTRE
VICTORIA,-123.3337925,48.4449543,270 - 1641 HILLSIDE AVENUE,Osler,LANSDOWNE PROFFESSIONAL CENTRE
COMOX,-124.9255823,49.6718759,102 - 1757 BEAUFORT AVENUE,Launchpad,NA
SALMON ARM,-119.2792192,50.7039663,102 - 571 6TH STREET NE,MedAccess,SHUSWAP FAMILY PRACTICE
VANCOUVER,-123.1259148,49.2611413,8109 - 2775 LAUREL STREET,Plexia,NA
SIDNEY,-123.3994188,48.6476096,2425A BEVAN AVENUE,Osler,NA
LANGLEY,-122.6670334,49.1584632,7 - 8590 200TH STREET,Intrahealth,HAPPY FACE MEDICAL CLINIC
PORT ALBERNI,-124.7917599,49.2639573,102 - 3949 MAPLE WAY,Osler,ALBERNI FAMILY MEDICAL CLINIC
CAMPBELL RIVER,-125.2411602,50.0071696,277 EVERGREEN ROAD,Oscar West,ALDER MEDICAL CENTRE
BURNABY,-122.9487637,49.2196208,2 - 7398 EDMONDS STREET,Oscar,NA
VANCOUVER,-123.0917936,49.2836823,3RD FLR - 111 PRINCESS AVENUE,Oscar West,ALEXANDER STREET COMMUNITY TRANSITIONAL PROGRAM
SURREY,-122.8428948,49.1745321,103 - 13710 94A AVENUE,Accuro,NA
COQUITLAM,-122.7954894,49.2834727,102 - 1173 THE HIGH STREET,MedAccess,EAGLE RIDGE MEDICAL CLINIC
SALT SPRING ISLAND,-123.5080333,48.8598826,101-323 LOWER GANGES ROAD,Oscar Nerd,NA
LANGLEY,-122.6114124,49.096327,303 - 22112 52ND AVENUE,IntraHealth,LANGLEY PRIMARY HEALTH
VANCOUVER,-123.1267045,49.2448408,F2 -  4500 OAK STREET,Launchpad,CHRONIC PELVIC PAIN
KELOWNA,-119.490148,49.8626485,104 - 3040 TUTT STREET,Osler,NA
NANAIMO,-123.9330141,49.1646557,103 - 650 SOUTH TERMINAL AVENUE,IntraHealth,MEDICAL ARTS
COMOX,-124.9255823,49.6718759,202 - 1757 BEAUFORT AVENUE,Oscar,WHITE WAVE MEDICAL
CAMPBELL RIVER,-125.2462899,50.0116464,110 - 520 2ND AVENUE,Oscar West,GENERAL INTERNAL MEDICINE
TERRACE,-128.5911069,54.5189215,500 - 4634 PARK AVENUE,Launchpad,TERRACE PRENATAL CLINIC
NANAIMO,-123.9723967,49.1831307,10 - 1599 DUFFERIN CRESCENT,Accuro,NA
VANCOUVER,-123.1275058,49.2784866,770 - 1190 HORNBY STREET,Accuro,PACIFIC GASTROENTEROLOGY ASSOCIATES
SURREY,-122.7984382,49.0311297,200 - 15331 16TH AVE,IntraHealth,HILLTOP MEDICAL CENTRE
