ADDR,CITY,PROVINCE,POSTAL_CODE,LAT,LONG,Rating
105-4442 West Saanich Road,Victoria,BC,V8Z 3E9,48.491856,-123.387766,1
835 Langford Parkway,Victoria,BC,V9B 4V5,48.441396,-123.504347,2
105-582 Goldstream Avenue,Victoria,BC,V9B 2W7,48.446751,-123.487067,3
1902 Richmond Road,Victoria,BC,V8R 4Y2,48.429647,-123.330171,4
101 Burnside W,Victoria,BC,V9A 1B7,48.45081,-123.387382,5
107-2349 Millstream Road,Victoria,BC,V9B 3R5,48.463909,-123.499077,1
107-2349 Millstream Road,Victoria,BC,V9B 3R5,48.463909,-123.499077,2
1105 Pandora Avenue,Victoria,BC,V8V 3P9,48.426737,-123.352828,3
1153 Esquimalt Road,Victoria,BC,V9A 3N7,48.429952,-123.409936,4
1273 Island Highway S,Nanaimo,BC,V9R 7A4,49.183609,-123.955637,5
1400 Cowichan Bay Road,Cobble Hill,BC,V0R 1L0,48.710695,-123.607747,1
1400 Dogwood Street,Campbell River,BC,V9W 3A6,50.029134,-125.249462,2
1477 Island Highway,Campbell River,BC,V9W 8E5,50.032952,-125.260091,3
1595 McKenzie Avenue,Victoria,BC,V8N 1A4,48.468573,-123.333124,4
1640 Oak Bay Avenue,Victoria,BC,V8R 1B2,48.426478,-123.334374,5
1641 Hillside Avenue,Victoria,BC,V8T 5G1,48.445104,-123.334011,1
180 Wilson Street,Victoria,BC,V9A 7N6,48.432654,-123.381659,2
1910 Sooke Road,Victoria,BC,V9B 1V7,48.441188,-123.470525,3
1932 Mount Newton Cross Road,Saanichton,BC,V8M 2B1,48.594581,-123.419181,4
2207F Glenmore Road,Campbell River,BC,V9H 1E1,49.869856,-125.129046,5
101A-230 Cook Street,Victoria,BC,V8V 3X3,48.413923,-123.356852,1
230 Menzies Street,Victoria,BC,V8V 2G7,48.415986,-123.373591,2
2379 Bevan Avenue,Sidney,BC,V8L 4M9,48.647652,-123.401503,3
2425 Bevan Avenue,Sidney,BC,V8L 4R5,48.647645,-123.399438,4
2631 Quadra Street,Victoria,BC,V8T 4E4,48.438086,-123.358897,5
2763 Beverly Street,Duncan,BC,V9L 6X2,48.785172,-123.708109,1
277 Evergreen Road,Campbell River,BC,V9W 5Y4,50.007502,-125.241145,2
291 Cowichan Way,Duncan,BC,V9L 4T8,48.774708,-123.703697,3
3200 Shelbourne Street,Victoria,BC,V8P 5G8,48.448582,-123.333229,4
340 Campbell Street,Nanaimo,BC,V9R 3G7,49.168455,-123.942254,5
3460 Saanich Road,Victoria,BC,V8X 1W7,48.454041,-123.374313,1
3461 Cook Street,Saanich,BC,V8X 1B3,48.454832,-123.357844,2
3544 Blanshard Street,Victoria,BC,V8X 1W3,48.456348,-123.374168,3
3949 Maple Way,Port Alberni,BC,V9Y 0B2,49.263571,-124.792035,4
533 Yates Street,Victoria,BC,V8W 1K7,48.426827,-123.369298,5
547 Michigan Street,Victoria,BC,V8V 1S5,48.417044,-123.370756,1
582 Goldstream Avenue,Victoria,BC,V9B 2W7,48.446762,-123.487199,2
6010 Brickyard Road,Nanaimo,BC,V9V 1S5,49.234503,-124.026347,3
622 Courtney Street,Victoria,BC,V8W 1C1,48.42349,-123.366963,4
6660 Sooke Road,Sooke,BC,V9Z 0A5,48.378506,-123.721702,5
757 Ryan Road,Courtenay,BC,V9N 3R6,49.698026,-124.988837,1
777 Royal Oak Drive,Victoria,BC,V8X 4V1,48.498368,-123.381439,2
801 Hilchey Road,Campbell River,BC,V9W 0A2,49.973673,-125.245769,3
911 Yates Street,Victoria,BC,V8V 4Y9,48.42563,-123.358744,4
918 Esquimalt Road,Esquimalt,BC,V9A 3M6,48.430075,-123.401585,5
650 Terminal Avenue,Nanaimo,BC,V9R 5E2,49.163972,-123.934996,1
3170 Tillicum Road,Victoria,BC,V9A 7C5,48.453374,-123.39404,2
