PMF_PLACE,LAT,LONG,GP_Count
ALERT BAY,50.583722,-126.927641,3
GALIANO,48.889576,-123.34375,2
MAYNE,48.845356,-123.277128,1
PENDER ISLAND,48.811611,-123.310819,2
PENDER ISLAND,48.770938,-123.283775,1
PORT ALICE,50.425775,-127.48742,2
PORT HARDY,50.721183,-127.49084,5
GOLD RIVER,49.778187,-126.053181,3
MANSONS LANDING,50.051886,-124.975534,2
QUATHIASKI COVE,50.0416,-125.210479,3
SAYWARD,50.379248,-125.959865,1
WHALETOWN,50.10513,-125.047103,1
CASSIDY,49.056652,-123.877613,1
CHEMAINUS,48.922289,-123.717263,1
CHEMAINUS,48.929314,-123.723503,4
COBBLE HILL,48.709013,-123.607723,2
COBBLE HILL,48.689873,-123.541513,1
CUMBERLAND,49.623629,-125.032463,4
DENMAN ISLAND,49.534899,-124.777304,3
ERRINGTON,49.289456,-124.37053,1
GABRIOLA,49.173934,-123.850964,2
GABRIOLA,49.185224,-123.840682,1
GABRIOLA,49.177318,-123.831932,1
HORNBY ISLAND,49.524484,-124.648092,3
LAKE COWICHAN,48.822991,-124.057647,3
LANTZVILLE,49.244543,-124.089112,9
LAZO,49.714913,-124.908933,5
MERVILLE,49.784178,-125.057977,1
MILL BAY,48.652445,-123.557459,2
MILL BAY,48.643845,-123.560004,9
MILL BAY,48.638305,-123.543527,1
SHAWNIGAN LAKE,48.653563,-123.621841,5
SHAWNIGAN LAKE,48.615398,-123.630029,1
THETIS ISLAND,48.977374,-123.67071,1
TOFINO,49.152506,-125.908427,5
UCLUELET,48.942181,-125.547431,2
SALT SPRING ISLAND,48.885262,-123.575,1
SALT SPRING ISLAND,48.861529,-123.508577,2
SALT SPRING ISLAND,48.796789,-123.490464,1
SALT SPRING ISLAND,48.864088,-123.486335,1
SALT SPRING ISLAND,48.775405,-123.409166,1
SALT SPRING ISLAND,48.856359,-123.504097,1
SALT SPRING ISLAND,48.860776,-123.50836,3
SALT SPRING ISLAND,48.859585,-123.51062,1
SALT SPRING ISLAND,48.859084,-123.506528,3
SALT SPRING ISLAND,48.859412,-123.507608,2
SIDNEY,48.649482,-123.395087,1
SIDNEY,48.64893,-123.397627,2
SIDNEY,48.648292,-123.399051,4
SIDNEY,48.645667,-123.397809,1
